,Title,Authors,Description,Category
0,"game of shadows: barry bonds, balco, and the steroids scandal that rocked professional sports","mark fainaru-wada, lance williams","chronicles the 2004 federal investigation that led to the exposure of performance-enhancing drug use by some of the nation's most famous baseball athletes, documenting how self-proclaimed nutritionist victor conte penetrated top levels of professional sports by exploiting corrupt practices. 100,000 first printing.","medical , sports medicine"
1,"dr. rosenfeld's guide to alternative medicine: what works, what doesn't--and what's right for you",isadore rosenfeld,"here at long last is an unbiased look at alternative medicine by a distinguished and experienced clinician with an open mind. ignoring the name-calling and turf wars among the various health care factions, dr. isadore rosenfeld, a professor of clinical medicine and author of several bestselling books (including doctor, what should i eat? and the best treatment), turns his erudition to examining the field of alternative medicine. based on in-depth research, and with his trademark wit and candor, dr. rosenfeld reviews the track records of dozens of the most widely used alternative therapies.for each approach, dr. rosenfeld describes how it is used, the theories on which it is based, how much scientific evidence exists to support claims for it, and, most important for the health consumer, whether it actually works. dr. rosenfeld calls it as it is, and he includes a delicious description of how to tell a quack from a legitimate practitioner.","medical , alternative and complementary medicine"
2,pain remedies: over 1000 quick and easy pain remedies from little ouches to big aches,philip goldberg,"this book gives you authoritative, practical advice from 149 of the country's top doctors and health professionals. you'll find quick and easy remedies for long-lasting relief from 77 common ailments.if you have chronic pain, pain remedies will show you how to get relief naturally - without expensive drugs and their unwanted side effects. you'll tap into the therapeutic powers of time-honored healing techniques such as homeopathy, imagery, massage, and yoga.an a-to-z reference with hundreds of user-friendly tips, pain remedies is a comprehensive resource for pain-free living.","medical , pain medicine"
3,the arthritis cure for pets,"brenda adderly, brian beale","a groundbreaking book on a common pet health issue demonstrates how osteoarthritis in cats and dogs can be cured using nutritional supplements. 40,000 first printing.","medical , veterinary medicine , small animal"
4,the healing bath: holistic bubbles and soothing soaks,"maribeth riggs, lawrence alma-tadema","bathing in water enriched with concentrated bath teas and aromatic essential oils awakens and strengthens all aspects of being and well-being - emotional, intellectual, spiritual, and physical. inhale the powerful healing aromas of pure plant extracts to soak away stress, inspire creativity, alter moods, restore vital energy, and maintain healthy, glowing skin.with simple instructions for making bath bags, bath teas, bath salts, bath gel, and bubble bath, using synergistic blends of essential oils and infusions of herbs, flowers, seaweed, and powdered minerals, herbalist maribeth riggs provides fragrant bath formulas for the prevention and relief of insomnia, jet lag, pms, backache, depression, hangover, the common cold, and more.consult the ""aromatherapy home-shopping network"" at the back of the book, listing top-quality herbs, essential oils, bath equipment, and skincare products to order by mail or telephone.","medical , holistic medicine"
5,radical healing: integrating the world's great therapeutic traditions to create a new transformative medicine,"rudolph m. ballentine, linda funk","a leading practitioner of holistic medicine draws on the principles of ayurveda, conscious nutrition, chinese medicine, body and energy work, homeopathy and cell salts, and flower essences to present a therapeutic approach to healing the mind, body, and spirit. 50,000 first printing. tour.","medical , holistic medicine"
6,harrison's manual of medicine: 16th edition,"eugene braunwald, tinsley randolph harrison, anthony s. fauci, dennis l. kasper, stephen l. hauser, dan l. , longo, j. larry jameson, ph.d. m.d.","this pocket size (4.75x8.25"") reference presents key features of the diagnosis and treatment of major diseases encountered on a medical service, and is written for easy reference to the text harrison's principles of internal medicine. this 16th edition contains a new section on care of the hospitalized patient, and a new chapter on key concepts in radiographic imaging. there are three new chapters on the likely biological, chemical, and radiologic agents of terrorism, and there is revised material on management of common diseases. kasper is professor of medicine at harvard medical school. annotation ©2004 book news, inc., portland, or (booknews.com)","medical , internal medicine"
7,medicine for mountaineering & other wilderness activities,james a. wilkerson,"provides information for handling major and minor medical emergencies in the wilderness, discussing diagnosis, traumatic and nontraumatic injuries, medications, preventive measures, and medical kits","medical , emergency medicine"
8,the breathing disorders sourcebook (sourcebooks),francis v. adams,"breathing disorders are one of the most common problems bringing patients to doctors' offices.  the causes are diverse, ranging from anxiety to specific diseases of the brain, heart, lungs, and nasal and throat passages.  the breathing disorders sourcebook is an extensive guide to the causes, symptoms, and treatments for different types of breathing disorders.  it explores the normal mechanisms involved in the act of breathing as well as what can go wrong and describes what to expect during the medical evaluation.","medical , pulmonary and thoracic medicine"
9,helping the stork: the choices and challenges of donor insemination,"robert moss, carol frost, vercollone, heidi moss","helping the stork the sourcebook for all the information parents-to-be need to know about the choices and challenges of donor insemination each year donor insemination (di) offers a pathway to parenthood for the hundreds of thousands who turn to family-building alternatives. although di is considered as often as adoption, couples facing male infertility, as well as single women and lesbian couples, have had few places to turn for information about this method, which has been shrouded in secrecy. in helping the stork, parents-to-be, as well as friends and family, doctors, and counselors, can explore the choices and challenges raised by this alternative to overcoming childlessness. this comprehensive handbook moves through each step of the process: reaching a solid decision about whether donor insemination is the best choice for a family's future; handling the difficult issue of privacy; selecting a donor and getting started; and learning to thrive as a family meeting di's added challenges. full of wisdom from medical and mental health experts, helping the stork is also enriched with stories from many families who share their insights and experiences. this book is a reassuring, supportive, and helpful guide that no one considering or going through the process of donor insemination should be without. visit us online at http://www.mcp.com/mgr","medical , reproductive medicine and technology"
10,dr. kenneth h. cooper's antioxidant revolution,kenneth h. cooper,"presenting evidence for the strengthening properties of vitamin c, vitamin e, beta carotene, and other ""antioxidants,"" the author of aerobics notes the detrimental effects of unstable oxygen molecules on the body. $250,000 ad/promo. tour.","medical , alternative and complementary medicine"
