Mastering Unix Shell Scripting,Randal K. Michael,3
Perl Black Book,Steven Holzner,3
Thinking in Java,Bruce Eckel,3
Java Concurrency in Practice,Brian Goetz,3
R for Data Science,"Garrett Grolemund, Hadley Wickham",3
Python for Data Analysis,Wes McKinney,3
Clean Code,Robert Cecil Martin,3
Programming Python: Powerful Object-Oriented Programming,Mark Lutz,3
Java Generics and Collections,"Maurice Naftalin, Philip Wadler",3
Perl Cookbook,"Nathan Torkington, Tom Christiansen",3
Programming Perl,"Larry Wall, Randal L. Schwartz",3
"Fluent Python: Clear, Concise, and Effective Programming",Luciano Ramalho,3
JavaScript: The Definitive Guide,David Flanagan,3
Modern C,Jens Gustedt,3
"Unit Testing Principles, Practices, and Patterns",Vladimir Khorikov,2
Clean Architecture: A Craftsman's Guide to Software Structure and Design,Robert Martin,2
Code Complete: A Practical Handbook of Software Construction,Steve McConnell,2
The Go Programming Language,Alan Donovan and Brian Kernighan,2
Modern Software Engineering: Doing What Works to Build Better Software Faster,David Farley,2
Precalculus: A Prelude to Calculus,Sheldon Axler,2
Data Structures and Algorithm Analysis in C++,Mark Allen Weiss,2
Introduction to Graph Theory,Richard J. Trudeau,2
Introductory Discrete Mathematics,V. K . Balakrishnan,2
Number Theory,George E. Andrews,2
How to Solve It: A New Aspect of Mathematical Method,"George Polya, John H. Conway",2
How to Prove It: A Structured Approach,Daniel J. Velleman,2
Book of Proof,Richard Hammack,2
Proofs: A Long-Form Mathematics Textbook,Jay Cummings,2
The Algorithm Design Manual,Steven S. Skiena,2
Algorithms,"Robert Sedgewicka, Kevin Wayne",2
Concrete Mathematics: A Foundation for Computer Science,"Ronald Graham, Donald Knuth, Oren Patashnik",2
"The Art of Computer Programming, Vol. 1: Fundamental Algorithms",Donald Knuth,2
"The Art of Computer Programming, Vol. 2: Seminumerical Algorithms",Donald Knuth,2
"The Art of Computer Programming, Vol. 3: Sorting and Searching",Donald Knuth,2
"The Art of Computer Programming, Vol. 4: Combinatorial Algorithms, Part 1",Donald Knuth,2
"The Art of Computer Programming, Vol. 5: Combinatorial Algorithms, Part 2",Donald Knuth,2
Schaum's Outline of Discrete Mathematics,"Marc Lipson, Seymour Lipschutz",2
Calculus Made Easy,Silvanus P. Thompson and Martin Gardner,1
"The Elements of Statistical Learning: Data Mining, Inference, and Prediction","Trevor Hastie, Robert Tibshirani, Jerome Friedman",1
Simulation Modeling and Analysis,Averill M. Law,1
An Introduction to Database Systems,C. J. Date,1
Introduction to Linear Algebra,Gilbert Strang,1
Data Mining: Practical Machine Learning Tools and Techniques,"Ian H. Witten, Eibe Frank, Mark A. Hall",1
Introduction to Data Mining,"by Pang-Ning Tan, Michael Steinbach, Vipin Kumar",1
Pattern Recognition and Machine Learning,Christopher M. Bishop,1
Probability and Statistics for Engineering and the Sciences,Jay Devore,1
Practical Data Science with R,Nina Zumel and John Mount,1
Machine Learning: A Probabilistic Perspective,Kevin P. Murphy,1
Fundamentals of Applied Probability and Random Processes,Oliver Ibe,1
"Artificial Intelligence: A Modern Approach, Global Edition","Peter Norvig, Stuart Russell",1
Introduction to Probability,Joseph K. Blitzstein and Jessica Hwang,1
Calculus,James Stewart,1
Coding the Matrix: Linear Algebra through Applications to Computer Science,Philip N. Klein,5
"Thinking, Fast and Slow",Daniel Kahneman,5
Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,5
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,5
Orange Is the New Black: My Year in a Women's Prison,Piper Kerman,5
Everyone Deserves a Great Manager: The 6 Critical Practices for Leading a Team,"Scott Jeffrey Miller, Todd Davis, Victoria Roos Olsson",5
Think Better: An Innovator's Guide to Productive Thinking,Tim Hurson,5
Power: Why Some People Have It and Others Don't,Jeffrey Pfeffer,5
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,5
Being Black Not Much Has Changed,Sally Eko,5
Conceptual Blockbusting: A Guide to Better Ideas,James L. Adams,5
Cracking Creativity: The Secrets of Creative Genius,Michael Michalko,5
Building Self-Esteem and Confidence in Yourself and Your Child,"C. E. Rollins, Jan Dargatz",5
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,5
"Zero to One: Notes on Startups, or How to Build the Future"," Peter Thiel, Blake Masters",5
Emotional Intelligence: Why It Can Matter More Than IQ ,Daniel Goleman,5
