Mastering Unix Shell Scripting , Randal K. Michael ,3,"UNIX expert Randal K. Michael guides you through every detail of writing shell scripts to automate specific tasks. Each chapter begins with a typical, everyday UNIX challenge, then shows you how to take basic syntax and turn it into a shell scripting solution. Covering Bash, Bourne, and Korn shell scripting, this updated edition provides complete shell scripts plus detailed descriptions of each part. UNIX programmers and system administrators can tailor these to build tools that monitor for specific system events and situations, building solid UNIX shell scripting skills to solve real-world system administration problems."
Perl Black Book , Steven Holzner ,3,"Written by Steve Holzner, former contributing editor for PC Magazine and the author of 50 computer books. There are over a million copies of his books in print. Includes 250 pages of CGI programming, the driving force behind Perl's popularity. Includes over 1,000 programming examples. Comprehensive coverage of Perl syntax and programming. If you can have only one book on Perl, this is it! Written at a higher technical level than other books currently on the market. Award-winning author Steven Holzner has updated his best-selling first edition to cover all aspects of Perl language version 5.6 including: syntax changes, improved security features, new database modules, and built-in functions. Three new chapters have been added to the second edition covering XML with DOM, SAX, CGI, SOAP, and WML."
Thinking in Java , Bruce Eckel ,3,"Thinking in Java by Bruce Eckel is a comprehensive guide to the Java programming language, delving deep into Object-Oriented Programming (OOP) principles. It covers a wide range of topics, including core OOP concepts like classes, objects, inheritance, polymorphism, and encapsulation. The book explores key Java language features such as data types, control flow, arrays, strings, interfaces, inner classes, generics, and the Collections Framework. It also delves into practical aspects like concurrency, input/output, and design patterns. With numerous real-world examples and exercises, ""Thinking in Java"" effectively guides readers through the complexities of Java, making it a valuable resource for both beginners and experienced programmers seeking to master the language and its applications."
Java Concurrency in Practice , Brian Goetz ,3,"This book is a definitive guide to concurrent programming in Java. It explores the challenges and complexities of writing concurrent applications, such as thread safety, deadlock, and race conditions. Goetz provides practical strategies and best practices for designing, implementing, and testing concurrent programs effectively. He covers essential topics like thread pools, executors, synchronizers, and atomic variables, equipping readers with the knowledge and tools to write robust and efficient concurrent code in Java."
R for Data Science ," Garrett Grolemund, Hadley Wickham ",3,"Use R to turn data into insight, knowledge, and understanding. With this practical book, aspiring data scientists will learn how to do data science with R and RStudio, along with the tidyverse—a collection of R packages designed to work together to make data science fast, fluent, and fun. Even if you have no programming experience, this updated edition will have you doing data science quickly. You'll learn how to import, transform, and visualize your data and communicate the results. And you'll get a complete, big-picture understanding of the data science cycle and the basic tools you need to manage the details. Updated for the latest tidyverse features and best practices, new chapters show you how to get data from spreadsheets, databases, and websites. Exercises help you practice what you've learned along the way. You'll understand how to: Visualize: Create plots for data exploration and communication of results Transform: Discover variable types and the tools to work with them Import: Get data into R and in a form convenient for analysis Program: Learn R tools for solving data problems with greater clarity and ease Communicate: Integrate prose, code, and results with Quarto"
Python for Data Analysis , Wes McKinney ,3,"Get the definitive handbook for manipulating, processing, cleaning, and crunching datasets in Python. Updated for Python 3.10 and pandas 1.4, the third edition of this hands-on guide is packed with practical case studies that show you how to solve a broad set of data analysis problems effectively. You'll learn the latest versions of pandas, NumPy, and Jupyter in the process. Written by Wes McKinney, the creator of the Python pandas project, this book is a practical, modern introduction to data science tools in Python. It's ideal for analysts new to Python and for Python programmers new to data science and scientific computing. Data files and related material are available on GitHub. Use the Jupyter notebook and IPython shell for exploratory computing Learn basic and advanced features in NumPy Get started with data analysis tools in the pandas library Use flexible tools to load, clean, transform, merge, and reshape data Create informative visualizations with matplotlib Apply the pandas groupby facility to slice, dice, and summarize datasets Analyze and manipulate regular and irregular time series data Learn how to solve real-world data analysis problems with thorough, detailed examples"
Clean Code , Robert Cecil Martin ,3,"This influential book focuses on the importance of writing clean, readable, and maintainable code. Martin emphasizes the principles of good software craftsmanship, advocating for practices like meaningful naming, effective commenting, and proper code formatting. He explores various code smells and anti-patterns, guiding readers on how to refactor code for improved clarity, efficiency, and testability. ""Clean Code"" is a valuable resource for developers at all levels, promoting a disciplined approach to software development that leads to higher-quality code and increased productivity."
Programming Python: Powerful Object-Oriented Programming , Mark Lutz ,3,"Get a comprehensive, in-depth introduction to the core Python language with this hands-on book. Based on author Mark Lutz’s popular training course, this updated fifth edition will help you quickly write efficient, high-quality code with Python. It’s an ideal way to begin, whether you’re new to programming or a professional developer versed in other languages. Complete with quizzes, exercises, and helpful illustrations, this easy-to-follow, self-paced tutorial gets you started with both Python 2.7 and 3.3— the latest releases in the 3.X and 2.X lines—plus all other releases in common use today. You’ll also learn some advanced language features that recently have become more common in Python code. Explore Python’s major built-in object types such as numbers, lists, and dictionaries Create and process objects with Python statements, and learn Python’s general syntax model Use functions to avoid code redundancy and package code for reuse Organize statements, functions, and other tools into larger components with modules Dive into classes: Python’s object-oriented programming tool for structuring code Write large programs with Python’s exception-handling model and development tools Learn advanced Python tools, including decorators, descriptors, metaclasses, and Unicode processing"
Programming Perl ," Larry Wall, Randal L. Schwartz ",3,"This comprehensive guide to Perl, often referred to as ""The Camel Book,"" provides a deep dive into the Perl programming language. It covers a wide range of topics, from basic syntax and data structures to advanced features like regular expressions, object-oriented programming, and system administration tasks. The book is known for its humor and extensive examples, making it both informative and entertaining. ""Programming Perl"" is a valuable resource for both beginners and experienced Perl programmers, offering a comprehensive understanding of this powerful and versatile language."
"Fluent Python: Clear, Concise, and Effective Programming ", Luciano Ramalho ,3,"Python’s simplicity lets you become productive quickly, but this often means you aren’t using everything it has to offer. With this hands-on guide, you’ll learn how to write effective, idiomatic Python code by leveraging its best—and possibly most neglected—features. Author Luciano Ramalho takes you through Python’s core language features and libraries, and shows you how to make your code shorter, faster, and more readable at the same time. Many experienced programmers try to bend Python to fit patterns they learned from other languages, and never discover Python features outside of their experience. With this book, those Python programmers will thoroughly learn how to become proficient in Python 3. This book covers: Python data model: understand how special methods are the key to the consistent behavior of objects Data structures: take full advantage of built-in types, and understand the text vs bytes duality in the Unicode age Functions as objects: view Python functions as first-class objects, and understand how this affects popular design patterns Object-oriented idioms: build classes by learning about references, mutability, interfaces, operator overloading, and multiple inheritance Control flow: leverage context managers, generators, coroutines, and concurrency with the concurrent.futures and asyncio packages Metaprogramming: understand how properties, attribute descriptors, class decorators, and metaclasses work"
